32.3669000000,-64.6772000000,27.0000000000,2.6041666667,9.0000000000,4.0000000000,0.1593554318,0.1640433967,0.1194576696,0.0448552780,0.0677086487,0.7496303593,0.2814794419,0.4248907485,0.7452455886,0.2798330000,0.4224054590,55.8899993896,61.1800003052,94.5599975586,151.0500030518,500.0000000000,0.0000000000,286.8399963379,294.1699829102,960.0000000000,1009.4534475298,nan,nan,57.9529611793,14.2599992752,15.0228591284
32.3669000000,-64.6772000000,27.0000000000,4.5972222222,9.0000000000,4.0000000000,0.0720839128,0.0675939769,0.0465091988,0.0107570952,0.0199091975,0.6452091319,0.1492301789,0.2761947393,0.6533482341,0.1511126688,0.2796788456,64.8899993896,62.4199981689,93.2599945068,147.8999938965,300.0000000000,0.0000000000,290.5099792480,294.3699951172,985.0000000000,1009.4534475298,nan,nan,126.3123446497,28.1399993896,27.9675268522
32.3669000000,-64.6772000000,27.0000000000,5.6250000000,9.0000000000,2.0000000000,0.0919653773,0.0391190872,0.0641604215,0.0141639812,0.0268370230,0.6976584382,0.1540142782,0.2918165922,0.7882491459,0.1740129791,0.3297088760,12.3299999237,58.2399978638,101.3899993896,158.1199951172,0.0000000000,0.0000000000,294.5000000000,294.5000000000,1009.4534475298,1009.4534475298,nan,nan,71.1332892508,31.9899997711,24.3320287229
32.3669000000,-64.6772000000,27.0000000000,7.6180555556,9.0000000000,3.0000000000,0.1701258123,0.1799339950,0.1514850408,0.0934389904,0.1137547567,0.8904294930,0.5492346466,0.6686507777,0.8802794267,0.5429738835,0.6610287820,34.2999992371,59.1299972534,97.4000015259,154.7099914551,2000.0000000000,0.0000000000,278.0299987793,294.1300048828,800.0000000000,1009.4534475298,3.9399998188,22.0000000000,46.0190709838,4.7100000381,14.5654026017
32.3669000000,-64.6772000000,27.0000000000,9.6076388889,9.0000000000,2.0000000000,0.1187999845,0.1171602830,0.0942536294,0.0371023379,0.0547696650,0.7933808224,0.3123092823,0.4610241763,0.7955769653,0.3131737799,0.4623003289,49.9500007629,60.1399993896,96.0799942017,151.3899993896,0.0000000000,0.0000000000,294.0499877930,294.0499877930,1009.4534475298,1009.4534475298,nan,nan,49.9071707931,12.1799993515,14.0085800905
32.3669000000,-64.6772000000,27.0000000000,11.6006944444,9.0000000000,4.0000000000,0.1024830118,0.0958548486,0.0742262676,0.0220882650,0.0364491865,0.7242787492,0.2155309901,0.3556607662,0.7337701729,0.2183554495,0.3603215781,60.7500000000,61.2700004578,93.9700012207,148.1299896240,650.0000000000,0.0000000000,286.1399841309,293.9499816895,960.0000000000,1009.4534475298,nan,nan,69.0651163124,18.7700004578,16.7351497295
32.3669000000,-64.6772000000,27.0000000000,14.6215277778,9.0000000000,4.0000000000,0.3096333444,0.2950455248,0.2701685429,0.1497030109,0.1888143122,0.8725434382,0.4834847849,0.6097996731,0.8808433087,0.4880838236,0.6156002534,23.8999996185,57.8400001526,98.9499969482,155.0899963379,1850.0000000000,0.0000000000,279.7099914551,293.7599792480,825.0000000000,1009.4534475298,17.7700004578,205.0000000000,52.2070417992,6.7199997902,17.5634661854
32.3669000000,-64.6772000000,27.0000000000,18.6041666667,9.0000000000,4.0000000000,0.1328424811,0.1229976043,0.1137344018,0.0569388494,0.0729393512,0.8561598734,0.4286192860,0.5490664627,0.8690406905,0.4350678090,0.5573270983,55.6800003052,59.7500000000,95.3600006104,148.3399963379,600.0000000000,0.0000000000,280.9599914551,293.1499938965,960.0000000000,1009.4534475298,nan,nan,32.8028895361,7.1900000572,8.7273048863
32.3669000000,-64.6772000000,27.0000000000,20.5972222222,9.0000000000,4.0000000000,0.2269935459,0.2115992606,0.1920020431,0.1111025140,0.1376403868,0.8458480277,0.4894523039,0.6063625565,0.8574785517,0.4961823388,0.6147001231,64.7699966431,60.8899993896,93.2799987793,145.0699920654,14200.0000000000,0.0000000000,210.6699981689,293.5599975586,140.0000000000,1009.4534475298,2.9299998283,72.0000000000,136.0265707231,4.4600000381,30.9040751517
32.3669000000,-64.6772000000,27.0000000000,23.6180555556,9.0000000000,4.0000000000,0.3898950219,0.3273849487,0.3525646329,0.2703616023,0.2971957624,0.9042552818,0.6934215292,0.7622455936,0.9342108256,0.7163927182,0.7874967386,33.8299980164,56.9799995422,96.9499969482,151.9799957275,12300.0000000000,0.0000000000,220.2599945068,293.4899902344,190.0000000000,1009.4534475298,14.8499994278,418.0000000000,88.2611561384,2.3899998665,29.0437252339
